condition,v13_all_gene_mse,v14_all_gene_mse,upgrade_all_gene_gain,v13_top100_mse,v14_top100_mse,upgrade_top100_mse_gain,v13_top100_pcc,v14_top100_pcc,upgrade_top100_pcc_delta
TBX3,0.003183701034340953,0.00317651400108352,0.002257446028980128,0.12907025098587555,0.12870910256468954,0.0027980763841973905,0.3057779162616575,0.3117398752753385,0.005961959013680962
TGFBR2,0.0008593312377781305,0.0008530197020972531,0.00734470644544053,0.007315218408971578,0.006998063741007496,0.043355461208802015,0.24599355714328952,0.23743688440290836,-0.00855667274038116
TMSB4X,0.00110781617626018,0.0007712141197644044,0.30384287908856256,0.03504250343209052,0.0181282500931778,0.4826782245078793,0.7154582769808293,0.8793881923330661,0.16392991535223678
TSC22D1,0.0007146105961078891,0.0006925057175587021,0.030932760680545186,0.011474689693352278,0.010363919546255628,0.09680175906980393,0.7286794651111982,0.7597968157624659,0.03111735065126775
UBASH3A,0.00028842068695853574,0.00027986257045520247,0.029672339365045673,0.0026198805923546716,0.0021898352380621765,0.16414692927130048,0.8379046331234394,0.8553236848645952,0.017419051741155767
ZBTB1,0.00221303749867675,0.0022011231728763254,0.005383698110650362,0.07222098106037075,0.07222098106037075,0.0,0.7022307296927117,0.7022307296927117,0.0
ZBTB10,0.005399936188075761,0.005393896313597921,0.0011185084911146815,0.11834203756532517,0.11834203756532517,0.0,0.75592376449154,0.75592376449154,0.0
ZBTB25,0.0012142280702545595,0.001200549512100564,0.011265229728322647,0.02752280113617559,0.02752280113617559,0.0,0.4866496215190862,0.4866496215190862,0.0
ZC3HAV1,0.0013940917619733285,0.0013855811157362594,0.006104796304815891,0.021499294280706408,0.02107163430729369,0.01989181448604587,0.11552852968781106,0.24234428361470983,0.12681575392689876
ZNF318,0.0005924134208394185,0.0005875831869020599,0.008153484994506684,0.01348869427133073,0.013245975015978462,0.017994273609429373,0.5095689725017818,0.5172538967888466,0.007684924287064798
