dataset,seed,condition,subgroup,all_gene_mse_v1,all_gene_mse_v2,relative_all_gene_mse_gain,top100_mse_v1,top100_mse_v2,relative_top100_mse_gain,top100_pcc_v1,top100_pcc_v2,top100_pcc_delta
Schmidt,1,EMP3+LCP2,combo_seen1,0.0104485599206045,0.01039871487926862,0.004770517823952611,0.05547684097727129,0.015033119704287407,0.7290199038109175,-0.11093561487748042,0.9317017638681385,1.042637378745619
Schmidt,1,EMP3+MAP4K1,combo_seen1,0.010344498802344886,0.00983834456180839,0.04892979836024153,0.011585678115529765,0.011341403450605947,0.02108419226634527,0.28409832671103014,0.25619313678931904,-0.027905189921711093
Schmidt,1,EMP3+PRKD2,combo_seen1,0.0073821699575803874,0.007402556805307327,-0.002761633482307658,0.022644317007722216,0.006043424336798655,0.7331151858217797,0.0576088785395046,0.9671819063314353,0.9095730277919307
Schmidt,1,EMP3+TBX21,combo_seen1,0.00847102371261973,0.008185778662381796,0.0336730317273211,0.05035819435469124,0.019764363295217125,0.6075243850879667,0.5384051259374144,0.933058547375283,0.39465342143786863
Schmidt,1,EMP3+TNFRSF1A,combo_seen1,0.005752795593318959,0.005455481535488557,0.05168166554982228,0.02722591921604305,0.005881242670145883,0.7839836876221861,0.7054591846442265,0.9710452835711043,0.2655860989268778
Schmidt,1,EMP3+TNFRSF1B,combo_seen1,0.003987304633217072,0.003892198063530264,0.023852345991952364,0.026002621070700248,0.004732103783026657,0.818014354392958,0.756552192911335,0.9714922204515942,0.2149400275402592
Schmidt,1,EMP3+VAV1,combo_seen1,0.008276021976103531,0.008419753624297381,-0.017367238585018995,0.025659468423088656,0.009027348746097097,0.6481864473086982,0.27097173180593126,0.9293712138220915,0.6583994820161603
Schmidt,1,JMJD1C+TRAF3IP2,combo_seen1,0.009034645624552272,0.008601829716639028,0.04790624069825574,0.006463247009570721,0.007015889631489164,-0.08550541563707752,0.14469163746898447,0.1164719513457225,-0.028219686123261978
Schmidt,1,PRKD2+TRAF3IP2,combo_seen1,0.01014584068952709,0.009625460852615517,0.05128996727188195,0.01020125550962035,0.010723009674678229,-0.051146073595140805,0.08393125715470887,-0.00888161239225536,-0.09281286954696423
Schmidt,1,TNFRSF1A+TRAF3IP2,combo_seen1,0.006474973088854755,0.006707033141257735,-0.035839539287417274,0.004227681709878151,0.004104832080167738,0.02905839136928627,0.9475656789778545,0.9519943671801304,0.004428688202275932
