data_seed,model_seed,pair,strategy,residual_mse,residual_cosine,full_effect_mse,full_effect_cosine
47,0,FDPS+AHCYL1,GEARS+Witness,0.013826111941304158,0.6353907455488194,0.01382611194130416,0.8792673884907185
47,0,FDPS+RAD9A,GEARS+Witness,0.009109126056227313,0.7307023143673376,0.009109126056227313,0.9221607875342283
47,0,FDPS+LIG4,GEARS+Witness,0.010112518194737968,0.6766822456296275,0.010112518194737968,0.9077240354171691
47,0,FDPS+ATR,GEARS+Witness,0.01176695960361376,0.6985015670745502,0.01176695960361376,0.9074469072517377
47,0,FDPS+NHEJ1,GEARS+Witness,0.011265042387109356,0.677394193686875,0.011265042387109354,0.895364988339876
47,0,FDPS+XRCC6,GEARS+Witness,0.01463683441995762,0.6540055072350793,0.01463683441995762,0.9143884663005925
47,0,FDPS+PRKDC,GEARS+Witness,0.0116280457278101,0.6605565837651596,0.0116280457278101,0.905446265267928
47,0,RRM2B+FDPS,CPA+Witness,0.011819741238802584,0.6174556325172539,0.011819741238802584,0.9086014631264456
47,0,XRCC5+FDPS,CPA+Witness,0.016075701094102935,0.6343732134809035,0.016075701094102935,0.9041518578061337
47,0,RAD1+FDPS,CPA+Witness,0.009720809314783764,0.7053170299993927,0.009720809314783764,0.9091565618816597
47,0,ATM+FDPS,CPA+Witness,0.012697332209377545,0.6366285178579415,0.012697332209377545,0.8982237613122728
47,0,CHEK1+FDPS,CPA+Witness,0.012449931154557918,0.6469225066559067,0.01244993115455792,0.8875035358568812
47,0,RAD17+FDPS,CPA+Witness,0.009319777101522776,0.6790676272477528,0.009319777101522778,0.9200940971789987
47,0,FDPS+ATRIP,CPA+Witness,0.010172734777061647,0.6963212837248756,0.010172734777061647,0.9155095330600708
47,0,FDPS+AHCYL1,CPA+Witness,0.013671851464132842,0.6399762212472259,0.013671851464132842,0.8791551896421979
47,0,FDPS+RAD9A,CPA+Witness,0.009277603689048166,0.7237492572000127,0.009277603689048165,0.9209008940166424
47,0,FDPS+LIG4,CPA+Witness,0.010372287499239602,0.666233410044987,0.010372287499239602,0.9055660896268961
47,0,FDPS+ATR,CPA+Witness,0.01269683527512468,0.6626728289989159,0.01269683527512468,0.8988200206390371
47,0,FDPS+NHEJ1,CPA+Witness,0.01144761276473599,0.6697232889976914,0.01144761276473599,0.8925949779169775
47,0,FDPS+XRCC6,CPA+Witness,0.015417110953010899,0.6255917344320285,0.0154171109530109,0.9095739699330692
47,0,FDPS+PRKDC,CPA+Witness,0.01174222610750424,0.6556956873838209,0.01174222610750424,0.9051580309253583
47,0,RRM2B+FDPS,WitnessCell,0.01176453801443634,0.6197021295302715,0.01176453801443634,0.9073736594479465
47,0,XRCC5+FDPS,WitnessCell,0.01675171845191547,0.6113644519231234,0.01675171845191547,0.9028502025737775
47,0,RAD1+FDPS,WitnessCell,0.00965009510241655,0.709277532291971,0.00965009510241655,0.9098589897979295
47,0,ATM+FDPS,WitnessCell,0.012589826997713376,0.6412386751322731,0.012589826997713376,0.8982439938607313
47,0,CHEK1+FDPS,WitnessCell,0.01247336856831587,0.6465652289542811,0.01247336856831587,0.8873310597891025
47,0,RAD17+FDPS,WitnessCell,0.009320261225018545,0.6791938093922487,0.009320261225018545,0.9197899606218747
47,0,FDPS+ATRIP,WitnessCell,0.010264403600820725,0.6930177426479895,0.010264403600820725,0.915874183573084
47,0,FDPS+AHCYL1,WitnessCell,0.013842551268497793,0.6339113816154602,0.013842551268497793,0.8789081120987373
47,0,FDPS+RAD9A,WitnessCell,0.009172914890558591,0.7292110812672661,0.009172914890558591,0.92155290351041
47,0,FDPS+LIG4,WitnessCell,0.010361584080115466,0.6669754711079596,0.010361584080115466,0.9053042245651417
47,0,FDPS+ATR,WitnessCell,0.012972606000229548,0.6525499630430033,0.012972606000229548,0.8998959684365234
47,0,FDPS+NHEJ1,WitnessCell,0.011507158449688394,0.6681969033369798,0.011507158449688394,0.8929694411601968
47,0,FDPS+XRCC6,WitnessCell,0.015579754593985185,0.6202427258311579,0.015579754593985185,0.9095098175852934
47,0,FDPS+PRKDC,WitnessCell,0.011790270310476655,0.6540342618659124,0.011790270310476655,0.9040334519781971
47,1,RRM2B+FDPS,Saturation,0.019099106515349646,0.0,0.019099106515349646,0.8379787991817242
47,1,XRCC5+FDPS,Saturation,0.026457779375028127,0.0,0.026457779375028127,0.852158386974296
47,1,RAD1+FDPS,Saturation,0.01912188374578493,0.0,0.01912188374578493,0.8253792514657395
47,1,ATM+FDPS,Saturation,0.021282811180998153,0.0,0.021282811180998153,0.8188499370270179
47,1,CHEK1+FDPS,Saturation,0.02131037071483663,0.0,0.02131037071483663,0.8106143945026711
47,1,RAD17+FDPS,Saturation,0.01728048994882924,0.0,0.01728048994882924,0.8529069774721131
47,1,FDPS+ATRIP,Saturation,0.019520652377761558,0.0,0.019520652377761558,0.8472614248614273
47,1,FDPS+AHCYL1,Saturation,0.022969562561293465,0.0,0.022969562561293465,0.8061531534056268
47,1,FDPS+RAD9A,Saturation,0.019115431220946683,0.0,0.019115431220946683,0.8393586293460562
47,1,FDPS+LIG4,Saturation,0.018618010892437857,0.0,0.018618010892437857,0.830505175973893
47,1,FDPS+ATR,Saturation,0.022356808905935558,0.0,0.022356808905935558,0.8366772393181772
47,1,FDPS+NHEJ1,Saturation,0.020608408706923032,0.0,0.020608408706923032,0.8164982292297625
47,1,FDPS+XRCC6,Saturation,0.02507479961109441,0.0,0.02507479961109441,0.8575282488959343
47,1,FDPS+PRKDC,Saturation,0.020499453788943845,0.0,0.020499453788943845,0.8316815906476429
47,1,RRM2B+FDPS,GEARS,0.04363953322044521,0.20769560874575613,0.04363953322044521,0.6778926018091634
47,1,XRCC5+FDPS,GEARS,0.040766315021236725,0.4583035791102147,0.040766315021236725,0.7692040335418547
47,1,RAD1+FDPS,GEARS,0.0437241373909792,0.31033245364427087,0.0437241373909792,0.6708380450260232
47,1,ATM+FDPS,GEARS,0.03742211420928666,0.30793000347662713,0.03742211420928666,0.764170579228178
47,1,CHEK1+FDPS,GEARS,0.038244067444789025,0.38908543484474084,0.038244067444789025,0.7437001327473611
47,1,RAD17+FDPS,GEARS,0.038082884835051324,0.32853941034251133,0.038082884835051324,0.749307417482353
47,1,FDPS+ATRIP,GEARS,0.039926614369908284,0.3485806125702817,0.039926614369908284,0.7614459094234951
47,1,FDPS+AHCYL1,GEARS,0.041519374396300976,0.24524974282287035,0.041519374396300976,0.7109381580988601
47,1,FDPS+RAD9A,GEARS,0.03397641193397238,0.3709734143005998,0.03397641193397238,0.7557601668749805
47,1,FDPS+LIG4,GEARS,0.035255231575464174,0.4185169102564261,0.035255231575464174,0.7403138580994644
47,1,FDPS+ATR,GEARS,0.032768009550188375,0.514103441999221,0.032768009550188375,0.7579669896318736
47,1,FDPS+NHEJ1,GEARS,0.036952459631765036,0.3490805900029518,0.036952459631765036,0.7478668305446301
47,1,FDPS+XRCC6,GEARS,0.04922249044790738,0.3447811271559653,0.04922249044790738,0.723539399290343
47,1,FDPS+PRKDC,GEARS,0.041727591539076306,0.2842964729580279,0.041727591539076306,0.6998657985473365
47,1,RRM2B+FDPS,CPA,0.1956682967326532,0.086170294014802,0.1956682967326532,0.12721299891844792
47,1,XRCC5+FDPS,CPA,0.22744470036426545,0.25891013634730686,0.22744470036426545,0.026712946795155543
47,1,RAD1+FDPS,CPA,0.1892747723218876,0.0907571252569,0.1892747723218876,0.0710888887401322
47,1,ATM+FDPS,CPA,0.1844980640277328,0.09847638500314189,0.1844980640277328,0.14050966348465457
47,1,CHEK1+FDPS,CPA,0.17350179824820777,0.14409457280988824,0.17350179824820777,0.17242918986385888
47,1,RAD17+FDPS,CPA,0.18757424141158285,0.15226645331478195,0.18757424141158285,0.09401731083628258
47,1,FDPS+ATRIP,CPA,0.196818732651349,0.21367966654533785,0.196818732651349,0.07760109857323168
47,1,FDPS+AHCYL1,CPA,0.18987899813275413,0.19414455818847584,0.18987899813275413,0.10947907801797732
47,1,FDPS+RAD9A,CPA,0.18048412521761192,0.12549144638123244,0.18048412521761192,0.17216826196185217
47,1,FDPS+LIG4,CPA,0.17848910153987532,0.11085490257689834,0.17848910153987532,0.1375266151770021
47,1,FDPS+ATR,CPA,0.1837577639162365,0.22223788638404754,0.1837577639162365,0.14544211257604917
47,1,FDPS+NHEJ1,CPA,0.17850161750612165,0.19028158066111323,0.17850161750612165,0.12351447474404015
47,1,FDPS+XRCC6,CPA,0.21987962363966979,0.18376542552394742,0.21987962363966979,0.061885777972350335
47,1,FDPS+PRKDC,CPA,0.1939707244065672,0.14694985103117322,0.1939707244065672,0.09083152502074658
47,1,RRM2B+FDPS,GEARS+Witness,0.011881517645378469,0.6147386229472788,0.011881517645378469,0.9064393539394082
47,1,XRCC5+FDPS,GEARS+Witness,0.015695708561602264,0.6480633455192243,0.015695708561602267,0.9074194658079042
