i,j,component,pair_type,component_status,unsupported_truth,seed,seen_category,train_edges,global_nullity,endpoint_degree_sum,null_projection,regularized_variance,cosine,nmse,catastrophic
30,31,2,within,unwitnessed,1,2,seen2,380,4,12,0.14285714285714293,285.97844599987144,0.16273981008296015,0.9746802724752242,1
37,38,2,within,unwitnessed,1,2,seen2,380,4,12,0.14285714285714288,285.9784459998714,-0.08239700493042067,1.0850839743287424,1
44,51,3,cross,witnessed,0,2,seen2,380,4,12,0.0,0.3620915080874598,0.9977553197747295,0.00481676282872581,0
45,52,3,cross,witnessed,0,2,seen2,380,4,12,0.0,0.36209150808745993,0.9983596625280181,0.0034580074977100263,0
44,45,3,within,witnessed,0,2,seen2,380,4,12,0.0,1.6195532531416075,0.9996455785738192,0.0007147509911088734,0
51,52,3,within,witnessed,0,2,seen2,380,4,12,0.0,1.5119498956815591,0.9995966571791612,0.0008067890940766123,0
58,65,4,cross,witnessed,0,2,seen2,380,4,12,0.0,0.36209150808745993,0.9981334637469886,0.0037322502951160743,0
59,66,4,cross,witnessed,0,2,seen2,380,4,12,0.0,0.3620915080874598,0.998576461884599,0.0028453770448035065,0
58,59,4,within,witnessed,0,2,seen2,380,4,12,0.0,1.619553253141608,0.9994460800927251,0.0011200570323717607,0
65,66,4,within,witnessed,0,2,seen2,380,4,12,0.0,1.51194989568156,0.9995166152880157,0.0009666533469837696,0
72,79,5,cross,unwitnessed,0,2,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716332,0.9979484871155186,0.004114634599694952,0
73,80,5,cross,unwitnessed,0,2,seen2,380,4,12,0.0,0.3620940524716332,0.9983812203642467,0.003235079239526344,0
72,73,5,within,unwitnessed,1,2,seen2,380,4,12,0.14285714285714274,285.97844599961695,0.22340694164943975,0.9511092437846089,1
79,80,5,within,unwitnessed,1,2,seen2,380,4,12,0.14285714285714288,285.978445999617,0.26431383058978986,0.935251913834687,1
86,93,6,cross,unwitnessed,0,2,seen2,380,4,12,1.5407439555097887e-33,0.3620940524716616,0.9980418129690342,0.003917721122409567,0
87,94,6,cross,unwitnessed,0,2,seen2,380,4,12,2.465190328815662e-32,0.3620940524716474,0.99716908375427,0.005869465994917519,0
86,87,6,within,unwitnessed,1,2,seen2,380,4,12,0.14285714285714293,285.97844599987144,0.2173704860817531,0.953246633928013,1
93,94,6,within,unwitnessed,1,2,seen2,380,4,12,0.14285714285714288,285.9784459998714,0.058741877104937223,1.0218876359838278,1
100,107,7,cross,witnessed,0,2,seen2,380,4,12,0.0,0.36209150808745993,0.9980384962971309,0.00415173449297548,0
101,108,7,cross,witnessed,0,2,seen2,380,4,12,0.0,0.36209150808745993,0.9982592657326487,0.003480133858501002,0
100,101,7,within,witnessed,0,2,seen2,380,4,12,0.0,1.619553253141608,0.9995642724082875,0.0008718767827866833,0
107,108,7,within,witnessed,0,2,seen2,380,4,12,0.0,1.5119498956815591,0.9996180841667089,0.0007863074802924704,0
2,9,0,cross,unwitnessed,0,3,seen2,380,4,12,0.0,0.3620940524716474,0.9984554071789647,0.0031145403049121865,0
3,10,0,cross,unwitnessed,0,3,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716616,0.998745467458433,0.0025344993141216093,0
2,3,0,within,unwitnessed,1,3,seen2,380,4,12,0.14285714285714293,285.9784459998442,0.16039570220352628,0.9775654907795434,1
9,10,0,within,unwitnessed,1,3,seen2,380,4,12,0.14285714285714274,285.9784459998443,0.18095282300056462,0.9676003981530681,1
16,23,1,cross,witnessed,0,3,seen2,380,4,12,0.0,0.3620915080874599,0.9975398462034937,0.00506800453445749,0
17,24,1,cross,witnessed,0,3,seen2,380,4,12,0.0,0.36209150808745993,0.9984096885586572,0.003183669988772003,0
16,17,1,within,witnessed,0,3,seen2,380,4,12,0.0,1.619553253141607,0.9996661728126056,0.0006775562586634881,0
23,24,1,within,witnessed,0,3,seen2,380,4,12,0.0,1.5119498956815591,0.999634858956578,0.0007798593461145507,0
30,37,2,cross,unwitnessed,0,3,seen2,380,4,12,0.0,0.3620940524716616,0.9966239775358131,0.006749885327222252,0
31,38,2,cross,unwitnessed,0,3,seen2,380,4,12,1.3866695599588098e-32,0.3620940524716474,0.9984677520865709,0.003079659668040677,0
30,31,2,within,unwitnessed,1,3,seen2,380,4,12,0.14285714285714293,285.97844599987144,-0.02290505355008535,1.0773044163542211,1
37,38,2,within,unwitnessed,1,3,seen2,380,4,12,0.14285714285714288,285.9784459998714,0.1691353850596295,0.9729956323090482,1
44,51,3,cross,unwitnessed,0,3,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716616,0.9962567099762916,0.007598791954671252,0
45,52,3,cross,unwitnessed,0,3,seen2,380,4,12,0.0,0.3620940524716474,0.9979744507255106,0.00440624375039075,0
44,45,3,within,unwitnessed,1,3,seen2,380,4,12,0.14285714285714274,285.97844599987144,0.14006844103082447,0.9865075230748747,1
51,52,3,within,unwitnessed,1,3,seen2,380,4,12,0.14285714285714288,285.9784459998714,0.13982599076367516,0.983554079691785,1
