dataset,seed,condition,subgroup,correction_active,all_gene_mse_v13,all_gene_mse_v14,relative_all_gene_mse_gain,top100_mse_v13,top100_mse_v14,relative_top100_mse_gain,top100_pcc_v13,top100_pcc_v14,top100_pcc_delta
Norman,1,CDKN1C,unseen_single,True,0.0013220757183613444,0.0013278467419091042,-0.004365123319043113,0.02296440577463175,0.023254399707906673,-0.012627974619542345,0.9005525576920965,0.8797552095730365,-0.020797348119059977
Norman,1,CELF2,unseen_single,True,0.0011788223541252547,0.0012210351352438618,-0.03580928116173289,0.029894719159366822,0.029894719159366822,0.0,0.4153367550863194,0.4153367550863194,0.0
Norman,1,CKS1B,unseen_single,True,0.002187456047493271,0.002248533106529275,-0.027921502288466862,0.06034792908122312,0.06034792908122312,0.0,0.803488767367629,0.803488767367629,0.0
Norman,1,CNN1,unseen_single,True,0.002030871287768509,0.0020398404859964994,-0.0044164286934428995,0.06959936419225604,0.07005006640321253,-0.006475665635558104,0.6598488421382952,0.659149648172207,-0.0006991939660881963
Norman,1,DLX2,unseen_single,True,0.0014116481980862975,0.001410269521107652,0.000976643458699178,0.043161283456603215,0.043092004938426284,0.001605107926102046,0.4965434092643689,0.49880475450213146,0.0022613452377625576
Norman,1,ETS2,unseen_single,True,0.0025151863620694642,0.002514807340672747,0.00015069316629303265,0.07894691086901115,0.07892786504382608,0.00024124851720505228,0.07739104165684138,0.07593228070973301,-0.0014587609471083673
Norman,1,FEV,unseen_single,True,0.004801949796325186,0.0047481349479413775,0.011206874429422775,0.14146673543752544,0.13876253930623905,0.01911542047621943,0.5605975034359065,0.5630033055711019,0.0024058021351953673
Norman,1,HES7,unseen_single,True,0.0074785417161416365,0.007505620223744038,-0.0036208272454983704,0.15802753475782264,0.15938822976484335,-0.008610493159347065,0.8362763197591321,0.833624437132439,-0.002651882626693136
Norman,1,KLF1,unseen_single,True,0.003636795000328091,0.0036126593058279414,0.006636528728721872,0.09881584133600883,0.09760302268737635,0.012273524489949672,0.25697926829251405,0.2744609481809269,0.01748167988841287
Norman,1,NIT1,unseen_single,True,0.0037361957416264615,0.0037348423541815065,0.00036223676128001943,0.07916510905218815,0.07916510905218815,0.0,0.6253895144395253,0.6253895144395253,0.0
Norman,1,PTPN12,unseen_single,True,0.0011221551912609284,0.0011243041847729819,-0.0019150591012627083,0.026708707911760946,0.026816694835741638,-0.00404313545744908,0.7153463298738031,0.7071712714953543,-0.008175058378448785
Norman,1,PTPN13,unseen_single,True,0.0014126117443804072,0.0014019953566048683,0.007515432189894024,0.03877649083769778,0.038243017351976966,0.013757652489847904,0.5812984437591394,0.605840454624658,0.02454201086551855
Norman,1,RREB1,unseen_single,True,0.0011889392373328881,0.001188975440807979,-3.045023156277815e-05,0.024885211534259963,0.02488703075888328,-7.310464774679686e-05,0.6547753360783302,0.6547360438449221,-3.929223340803922e-05
Norman,1,RUNX1T1,unseen_single,True,0.0006988622549006159,0.0006974265353303183,0.0020543670233009897,0.013266736742851249,0.013194591834443796,0.0054380296983226285,0.181084711712436,0.15041066617603008,-0.03067404553640593
Norman,1,SET,unseen_single,True,0.003713738386451477,0.0037079133939029573,0.00156849835458807,0.1010167913701748,0.10072408549461169,0.002897596247048624,0.6186631885785662,0.5954258583246643,-0.023237330253901844
Norman,1,CBL+CNN1,combo_seen0,True,0.006803806877612494,0.006813830691166402,-0.0014732654430405186,0.24018589619774766,0.2406091791252328,-0.0017623138335177177,0.7622161182985471,0.7626850870009171,0.00046896870237000954
Norman,1,CBL+PTPN12,combo_seen0,True,0.003835344261832612,0.003839550398479082,-0.0010966777319906219,0.1145585504498425,0.11476990881632762,-0.001844981152914068,0.7336552867261285,0.7285600811727619,-0.005095205553366511
Norman,1,CDKN1B+CDKN1C,combo_seen0,True,0.0021576321815150686,0.0021470288852668096,0.0049143205867524424,0.020005799634110394,0.01955183308554611,0.022691747236649313,0.9294932738943203,0.9284151134853603,-0.0010781604089600272
Norman,1,CNN1+ETS2,combo_seen0,True,0.001608513590945152,0.0016154168469002597,-0.004291698866561295,0.022654003768564614,0.023000892380308783,-0.01531246376084401,0.8135863019036413,0.81042846492339,-0.003157836980251294
Norman,1,KLF1+SET,combo_seen0,True,0.0051808487911001785,0.005118995440793115,0.011938844926977422,0.11743268241628936,0.11432455156335941,0.026467341024467763,0.5208163830800857,0.5350529817054441,0.014236598625358421
