dataset,seed,condition,base_wmse,final_wmse,wmse_gain,base_weighted_r2,final_weighted_r2,weighted_r2_delta,weight_sum
Wessels,3,SMARCA5,0.031682607550603654,0.03146564729435491,0.0068479292906120925,-0.05397324428216521,-0.046755710031124,0.007217534251041213,121.03089620095338
Wessels,3,SMARCD1,0.020916157715319333,0.020917082093847978,-4.419447114649876e-05,-0.0036005329790076424,-0.0036448865738050173,-4.4353594797374996e-05,172.45555875961531
Wessels,3,SUPT16H,0.02116098154202084,0.019688122319669092,0.06960259472969099,-0.2201663188738996,-0.13523957707850065,0.08492674179539894,130.75970996763658
Schmidt,1,ALX4,0.296161414117347,0.2861317895188003,0.0338653994762892,-0.08405408412263671,-0.0473421595099206,0.03671192461271611,13.029072031857748
Schmidt,1,APOBEC3C,0.4035863395613424,0.3081722528360286,0.2364155507072396,0.6219212560686291,0.7113049505258655,0.08938369445723637,4.6883181558291
Schmidt,1,APOL2,0.7734384240341032,0.8825832141939685,-0.14111632777511543,0.49599064553939065,0.42486669627360296,-0.07112394926578769,2.798677744624041
Schmidt,1,ARHGDIB,0.06758404535731526,0.0454305229539451,0.3277921924656183,0.8251119557090217,0.8824388911831856,0.0573269354741639,8.332166350885103
Schmidt,1,DEF6,0.019136446396053775,0.030826146364984756,-0.6108605394647135,0.9448659432408105,0.9111867235860139,-0.03367921965479659,4.801347917534729
Schmidt,1,FOSB,0.034280440641733204,0.0329942133644093,0.03752073349249894,-0.05254388755539341,-0.013051668861268517,0.03949221869412489,87.1492065180456
Schmidt,1,FOXQ1,0.030598182520132765,0.03607748648233562,-0.17907285697762032,0.7562794454443482,0.7126357094358977,-0.04364373600845051,15.525201481053479
Schmidt,1,ITPKA,0.022757462959698035,0.032829310995296734,-0.4425734122224115,0.8712117061785603,0.8142134315277032,-0.05699827465085705,13.13271079477944
Schmidt,1,JMJD1C,0.023673951404898752,0.023673533219044043,1.7664387645153277e-05,0.6804658107016348,0.6804714550774205,5.64437578565169e-06,27.773132204139205
Schmidt,1,LHX6,0.027729905509312112,0.039432837979286,-0.42203290112344116,0.8641500103405695,0.8068168450870106,-0.057333165253558915,7.1803298893103005
Schmidt,1,LTBR,0.3198974545264418,0.32168975834365215,-0.005602744854170771,0.0025135677208811824,-0.003075094254675559,-0.005588661975556741,31.326580732044835
Schmidt,1,MAP4K1,0.04241238568391792,0.04515128653948432,-0.06457785411974465,0.7036809241034534,0.6845452740473087,-0.019135650056144704,19.947062953350667
Schmidt,1,MGST3,0.6149002306324892,0.4884562163003069,0.20563338251169858,0.5606045156709047,0.6509588953738626,0.0903543797029579,3.1348372060285463
Schmidt,1,OTUD7B,0.015321929115238084,0.0145153858138526,0.052639801118995806,0.8609391292888612,0.86825926586653,0.007320136577668834,10.787621329279066
Schmidt,1,PAPOLG,0.00611393451779902,0.005970833291156502,0.02340575062194716,0.9340884452898228,0.9356311547024742,0.001542709412651333,12.685198639207583
Schmidt,1,PRDM1,0.0516972827590636,0.05157078547721466,0.0024468845381775046,0.04631880439965019,0.04865235217151542,0.0023335477718652298,172.11256763650908
Schmidt,1,PRDM13,0.075472457565093,0.07156437697188828,0.051781546795850834,-0.15082176879178277,-0.09123043751740756,0.059591331274375214,22.202917773739504
Schmidt,1,PRKD2,0.02629292851812577,0.02101991983507974,0.20054854975211053,-1.2013007514482044,-0.7598330781770355,0.44146767327116887,35.05613948074431
Schmidt,1,RAC2,0.035286765229097614,0.03353795573779761,0.04955992650349058,0.9163155673769814,0.9204629617072645,0.004147394330283105,4.547364986104806
Schmidt,1,RELA,0.15329181058869312,0.15345665421907417,-0.0010753583622503688,0.2429789282514223,0.24216485931151788,-0.0008140689399044332,9.292045812523053
Schmidt,1,TBX21,0.17736764126862276,0.1811810524706503,-0.021500038985420966,0.4020613754331873,0.3892056716941117,-0.01285570373907563,16.026024788388877
Schmidt,1,TCF7,0.9220907028095786,0.92230040853294,-0.0002274241815067267,-0.15312088728513373,-0.15338313485910282,-0.0002622475739690877,8.580553659151557
Schmidt,1,TNFRSF12A,0.06407621400302804,0.05345171164968405,0.1658103949905953,0.4055898707377228,0.504149249057112,0.09855937831938921,8.086243436135256
Schmidt,1,TNFRSF1A,0.10028330190528303,0.09894810086585307,0.013314290754916074,0.13557405090560515,0.14708326932794225,0.011509218422337097,49.13360091703362
Schmidt,1,TNFRSF1B,0.16157564239383337,0.15157897905465267,0.06186986597159417,0.3781569957379237,0.4166303390669919,0.038473343329068155,18.50892986945379
Schmidt,1,TRIM21,0.017815950889665137,0.01092364340623398,0.38686161216515913,0.7317210753138543,0.8355078926278718,0.10378681731401751,9.163479722142043
Schmidt,1,VAV1,0.031042200411122618,0.03138815248121215,-0.011144573049195786,0.7636062363966526,0.7609717288298008,-0.002634507566851796,12.312743076328402
Schmidt,1,WT1,0.04212804854008503,0.04065632821098692,0.034934452938112176,0.6499882147544904,0.6622156849939342,0.012227470239443816,12.80510904386497
Schmidt,2,ABCB10,0.06730275009790651,0.06821976226695033,-0.013625181254998071,0.633248938106267,0.6282518884125019,-0.004997049693765132,10.36750819101777
Schmidt,2,ALX4,0.33110625217319517,0.31884874983446676,0.03701984561836891,-0.11743530728662832,-0.07606802472236263,0.041367282564265695,11.81326208652683
Schmidt,2,APOBEC3C,0.41552603943673583,0.3342458954994038,0.19560782291167816,0.6381442705796765,0.7089260820197033,0.07078181144002682,4.208477545129471
Schmidt,2,APOL2,0.7760950730927012,0.8349822775264355,-0.07587627659981354,0.5076117495375325,0.4702511624509439,-0.037360587086588626,2.525324346094816
Schmidt,2,ARHGDIB,0.06411956962227183,0.04269582070945268,0.3341218451562664,0.8487164916500566,0.8992636166016531,0.05054712495159652,7.309590897960078
Schmidt,2,CBY1,0.017390280018928006,0.013812871173156164,0.20571312491104818,-3.8756177486856966,-2.872639185731792,1.0029785629539045,94.33379697779512
Schmidt,2,DEF6,0.012950593500965574,0.021563465094597792,-0.6650561298978349,0.9626556254786309,0.937819520285994,-0.024836105192636904,4.698430805890816
Schmidt,2,EOMES,0.2123191854862164,0.22605395928315686,-0.06468927320669339,0.43646850780543844,0.4000140651462889,-0.036454442659149544,17.697839730972134
Schmidt,2,FOXD2,0.06873723718404952,0.06190616095015229,0.09937955777312472,0.14422497370843923,0.22927151737457885,0.08504654366613962,29.875006844636605
Schmidt,2,FOXQ1,0.026431173669018863,0.029618865031281052,-0.12060347384416838,0.7885081125090285,0.7630014561877574,-0.025506656321271137,15.188423989901096
Schmidt,2,GATA3,0.075110199427155,0.0750854371336912,0.0003296795062807423,0.6245447370440529,0.6246685169497747,0.0001237799057217659,17.534197775020047
Schmidt,2,INPPL1,0.034559455458858065,0.03330208937755512,0.036382693668301595,0.571867603741081,0.5874442135636453,0.015576609822564258,20.909809077972813
Schmidt,2,LCP2,0.1040606788334034,0.1013008917218459,0.02652094088273052,0.8302882990548845,0.8347892130427575,0.004500913987873001,4.404206748346599
Schmidt,2,LHX6,0.029665311578686425,0.037706029441981335,-0.271047814278543,0.8629376813665576,0.8257872394810138,-0.03715044188554373,6.552104070673096
Schmidt,2,MAP4K1,0.042992389906713474,0.04439369756677401,-0.03259431874108765,0.7049611299088363,0.6953445389360744,-0.009616590972761907,18.27274575263299
Schmidt,2,MGST3,0.6522293887883976,0.6052080913104448,0.07209319035025558,0.559703075523188,0.591445485510127,0.031742409986939,2.7603909540077063
Schmidt,2,OTUD7B,0.019079667367721667,0.017057782124534862,0.10597067570514158,0.8351776371470445,0.8526439743098903,0.017466337162845735,9.856962070927459
Schmidt,2,PAPOLG,0.008455381636345155,0.007050251258492623,0.16618178082141552,0.9150713858524834,0.9291849741942125,0.014113588341729155,11.458015909066999
Schmidt,2,PRDM1,0.05245222391879391,0.05258770426057298,-0.002582928456738463,-0.01529119198410167,-0.017913616495753404,-0.002622424511651733,173.9682855236349
Schmidt,2,PRDM13,0.08882241941547944,0.08422963782346138,0.051707458795224634,-0.33778230053000113,-0.2686089773483653,0.06917332318163583,19.499810963190484
Schmidt,2,PRKD2,0.0373440490827949,0.03238889224583829,0.13268932958958496,-2.599956330075986,-2.1222805380864194,0.47767579198956645,28.248281945126315
Schmidt,2,RAC2,0.021950959200081516,0.016615418790818685,0.2430663899754785,0.9508793445694335,0.9628189249581707,0.011939580388737214,4.03169466887744
Schmidt,2,TBX21,0.16750163979302474,0.17356817049739326,-0.036217739192671176,0.42558717187823925,0.4047832378804006,-0.02080393399783864,16.099804044741582
Schmidt,2,TCF7,0.9875237301419537,0.9879869556920802,-0.0004690778924977009,-0.1737268481132137,-0.17427741742949454,-0.0005505693162808356,8.14613463713409
