dataset,seed,condition,control,nir
Replogle_exp6,2,SREBF2,technical_duplicate,1.0
Replogle_exp6,2,XRCC5,technical_duplicate,0.9714285714285714
Replogle_exp6,2,FDPS+PMVK,technical_duplicate,1.0
Replogle_exp6,2,FDPS+RAD17,technical_duplicate,0.9142857142857143
Replogle_exp6,2,FDPS+SREBF2,technical_duplicate,1.0
Replogle_exp6,2,FDPS+XRCC5,technical_duplicate,1.0
Replogle_exp6,2,AHCYL1+FDPS,interpolated_duplicate,0.4857142857142857
Replogle_exp6,2,ATM+FDPS,interpolated_duplicate,0.22857142857142856
Replogle_exp6,2,ATR+FDPS,interpolated_duplicate,1.0
Replogle_exp6,2,CHEK1+FDPS,interpolated_duplicate,0.17142857142857143
Replogle_exp6,2,ETAA1+FDPS,interpolated_duplicate,0.6857142857142857
Replogle_exp6,2,FDPS+HMGCR,interpolated_duplicate,1.0
Replogle_exp6,2,FDPS+HUS1,interpolated_duplicate,1.0
Replogle_exp6,2,FDPS+IDI1,interpolated_duplicate,0.7142857142857143
Replogle_exp6,2,FDPS+LIG4,interpolated_duplicate,0.3142857142857143
Replogle_exp6,2,FDPS+MVD,interpolated_duplicate,0.2857142857142857
Replogle_exp6,2,FDPS+NHEJ1,interpolated_duplicate,0.34285714285714286
Replogle_exp6,2,FDPS+PRKDC,interpolated_duplicate,0.6857142857142857
Replogle_exp6,2,FDPS+RAD1,interpolated_duplicate,0.6
Replogle_exp6,2,FDPS+RAD9A,interpolated_duplicate,0.45714285714285713
Replogle_exp6,2,FDPS+RRM1,interpolated_duplicate,1.0
Replogle_exp6,2,FDPS+RRM2B,interpolated_duplicate,0.2857142857142857
Replogle_exp6,2,FDPS+SQLE,interpolated_duplicate,1.0
Replogle_exp6,2,FDPS+SREBF1,interpolated_duplicate,0.5714285714285714
Replogle_exp6,2,FDPS+TOPBP1,interpolated_duplicate,0.5142857142857142
Replogle_exp6,2,FDPS+XRCC6,interpolated_duplicate,1.0
Replogle_exp6,2,HMGCR+SREBF2,interpolated_duplicate,0.9428571428571428
Replogle_exp6,2,HUS1+PMVK,interpolated_duplicate,1.0
Replogle_exp6,2,HUS1+SREBF2,interpolated_duplicate,1.0
Replogle_exp6,2,ETAA1+TOPBP1,interpolated_duplicate,0.6
Replogle_exp6,2,HUS1+RRM1,interpolated_duplicate,0.9714285714285714
Replogle_exp6,2,FDPS,interpolated_duplicate,1.0
Replogle_exp6,2,HSPE1,interpolated_duplicate,1.0
Replogle_exp6,2,MTOR,interpolated_duplicate,1.0
Replogle_exp6,2,PMVK,interpolated_duplicate,0.9714285714285714
Replogle_exp6,2,RAD17,interpolated_duplicate,0.8
Replogle_exp6,2,SREBF2,interpolated_duplicate,0.9714285714285714
Replogle_exp6,2,XRCC5,interpolated_duplicate,0.11428571428571428
Replogle_exp6,2,FDPS+PMVK,interpolated_duplicate,0.9714285714285714
Replogle_exp6,2,FDPS+RAD17,interpolated_duplicate,0.7142857142857143
Replogle_exp6,2,FDPS+SREBF2,interpolated_duplicate,1.0
Replogle_exp6,2,FDPS+XRCC5,interpolated_duplicate,0.17142857142857143
Replogle_exp6,3,ATM+FDPS,mean_negative,0.30303030303030304
Replogle_exp6,3,CHEK1+FDPS,mean_negative,0.2727272727272727
Replogle_exp6,3,ETAA1+FDPS,mean_negative,0.696969696969697
