dataset,seed,condition,subgroup,method,wmse,weighted_r2_deltapert,mse,r2_deltapert,pearson_deltactrl
Norman,1,FEV+ISL2,combo_seen1,WitnessCell_v14,0.1833718396273628,0.1389789595737374,0.008722334941730579,0.010584479810012426,0.487952245115426
Norman,1,FEV+ISL2,combo_seen1,WitnessCell_v13,0.19140123408381698,0.10127700063097811,0.008770007068631146,0.005176805998929779,0.48309441001714437
Norman,1,FEV+ISL2,combo_seen1,trainMean,0.2268957641325317,-0.06538728792112924,0.008836601900205139,-0.002377359297854209,0.47868609807443885
Norman,1,FEV+ISL2,combo_seen1,baseControl,0.2553015053196069,-0.19876622375269726,0.011426740241899,-0.2961889466573506,
Norman,1,FEV+MAP7D1,combo_seen1,WitnessCell_v14,0.13777373616002508,0.13320883566475983,0.0059985189484603445,0.12211218527207268,0.5461919131751743
Norman,1,FEV+MAP7D1,combo_seen1,WitnessCell_v13,0.14483928726938639,0.08875655148165573,0.006041881656857262,0.11576601988652768,0.5403970787089208
Norman,1,FEV+MAP7D1,combo_seen1,trainMean,0.175288509506958,-0.10281201254241523,0.005979596028043436,0.12488156908094339,0.5436476440748614
Norman,1,FEV+MAP7D1,combo_seen1,baseControl,0.20459931448371788,-0.28721832597721364,0.00823318120055157,-0.2049323365505833,
Norman,1,FOSB+PTPN12,combo_seen1,WitnessCell_v14,0.022036613289786094,-0.06346035950888296,0.002819230863753963,-0.8603550677205727,0.4324183130538619
Norman,1,FOSB+PTPN12,combo_seen1,WitnessCell_v13,0.021967682944359697,-0.060133864236480816,0.0028181185315223033,-0.8596210615308837,0.4313705656094877
Norman,1,FOSB+PTPN12,combo_seen1,trainMean,0.023436667065910743,-0.13102526490110078,0.0032316397957325295,-1.1324956208209134,0.43461274428558666
Norman,1,FOSB+PTPN12,combo_seen1,baseControl,0.02228227690726271,-0.0753157891760643,0.001976752964806877,-0.30442045133309703,
Norman,1,FOXA1+KLF1,combo_seen1,WitnessCell_v14,0.11239538725269962,-0.0874142454490121,0.003686234694235965,-0.09682730654358629,0.5427931644981765
Norman,1,FOXA1+KLF1,combo_seen1,WitnessCell_v13,0.11348739452345338,-0.09797930769379737,0.003703440598444359,-0.10194686813825338,0.5381910593983841
Norman,1,FOXA1+KLF1,combo_seen1,trainMean,0.12269473337476339,-0.187059399629244,0.003901522207037205,-0.1608854152601813,0.49494115127031457
Norman,1,FOXA1+KLF1,combo_seen1,baseControl,0.1267228669238198,-0.22603119296420404,0.004346886590703156,-0.29340215873573916,
Norman,1,IRF1+SET,combo_seen1,WitnessCell_v14,0.07578954653719516,0.51982057367856,0.004491528479943378,0.4747142676504009,0.7428818960421418
Norman,1,IRF1+SET,combo_seen1,WitnessCell_v13,0.07614082100565997,0.5175950058996841,0.0045040176114028935,0.4732536596203245,0.7420074483759271
Norman,1,IRF1+SET,combo_seen1,trainMean,0.07926710892504055,0.4977878001802636,0.004575075136746232,0.46494345867078124,0.7401692742976308
Norman,1,IRF1+SET,combo_seen1,baseControl,0.21894607868168448,-0.3871755045414329,0.009975616153843079,-0.1666515887429061,
Norman,1,KLF1+MAP2K6,combo_seen1,WitnessCell_v14,0.06497573952369562,0.08186297101600148,0.0030908155506169767,0.31991271419890976,0.1938195439042544
Norman,1,KLF1+MAP2K6,combo_seen1,WitnessCell_v13,0.06618555081590509,0.06476778204850364,0.0031115956278705945,0.3153403720106711,0.17657298318590886
Norman,1,KLF1+MAP2K6,combo_seen1,trainMean,0.07251364463445999,-0.024651088752976946,0.00317851262722293,0.30061629685374414,0.18503236676324025
Norman,1,KLF1+MAP2K6,combo_seen1,baseControl,0.06856527958851974,0.031141121989031184,0.002971053768991156,0.3462644856568827,
Norman,1,KLF1+TGFBR2,combo_seen1,WitnessCell_v14,0.13681044998341785,-0.059956412573282325,0.0030790732392800184,0.10015222954467029,0.3675915400636738
Norman,1,KLF1+TGFBR2,combo_seen1,WitnessCell_v13,0.13945299238373837,-0.08042984689833599,0.003104508889326404,0.09271875485743797,0.3565594382048785
Norman,1,KLF1+TGFBR2,combo_seen1,trainMean,0.1421911588246056,-0.10164414067517802,0.0028877180694785293,0.15607507045482483,0.3745549997110392
Norman,1,KLF1+TGFBR2,combo_seen1,baseControl,0.15241016961992532,-0.18081723033293184,0.003153749333029356,0.07832841723341544,
Norman,1,OSR2+PTPN12,combo_seen1,WitnessCell_v14,0.008821928041265512,0.8539814889351323,0.002256114814463872,-0.4209800097827239,0.5968744137190335
Norman,1,OSR2+PTPN12,combo_seen1,WitnessCell_v13,0.008893789745981782,0.8527920506313771,0.0022568988785773656,-0.4214738407812708,0.5953734904506116
Norman,1,OSR2+PTPN12,combo_seen1,trainMean,0.019693524647190108,0.6740373381928577,0.0033416058014258494,-1.1046601945781194,0.5703989958173777
Norman,1,OSR2+PTPN12,combo_seen1,baseControl,0.06652444129672833,-0.10109715496806793,0.0014718127856714494,0.07300083613929687,
Norman,1,PTPN12+PTPN9,combo_seen1,WitnessCell_v14,0.03356982674062145,0.61842907520733,0.0017631707332168396,0.521679572055691,0.8127177546014335
Norman,1,PTPN12+PTPN9,combo_seen1,WitnessCell_v13,0.033548848464953776,0.6186675244584663,0.0017626150959769962,0.5218303076806289,0.8127402468125463
Norman,1,PTPN12+PTPN9,combo_seen1,trainMean,0.04650030280514621,0.4714550157916497,0.002146989492956768,0.4175555924811739,0.7650505567944298
Norman,1,PTPN12+PTPN9,combo_seen1,baseControl,0.10680232522531069,-0.2139670043907671,0.005175410102644224,-0.4040071834493415,
Norman,1,PTPN12+SAMD1,combo_seen1,WitnessCell_v14,0.039605544575553146,0.7352320840185582,0.0017346100692118254,0.5671459301895092,0.8643681214918164
Norman,1,PTPN12+SAMD1,combo_seen1,WitnessCell_v13,0.039550153436011634,0.7356023805701499,0.0017320852034727167,0.567775984419158,0.8645459691991888
Norman,1,PTPN12+SAMD1,combo_seen1,trainMean,0.03726440198571641,0.7508829089515168,0.0020103644462351536,0.49833426670317904,0.8439702122663899
Norman,1,PTPN12+SAMD1,combo_seen1,baseControl,0.20500967563814215,-0.37051478919057823,0.006683561729942553,-0.6678139640627168,
Norman,1,PTPN12+SNAI1,combo_seen1,WitnessCell_v14,0.021728795664795107,0.08637699031997337,0.0029352694979950696,-0.543665068748469,0.5378992661119075
