seed,strategy,subset_id,exact_target_risk,empirical_target_mse,mc_relative_error,regret_to_global_optimum,relative_regret,gain_vs_random_average
21,adequacy_only,31,0.665175360985489,0.6624411498950803,0.004110511679743908,0.11318374355407523,0.20504612747699658,0.11308852603194552
22,exact,67,0.5182945586331976,0.512022507368217,0.012101325704674133,0.0,0.0,0.7239750114554032
22,pure_geometry,92,1.1142717431599838,1.1184609375841,0.003759580595875046,0.5959771845267862,1.1498812298906755,0.12799782692861705
22,adequacy_only,108,1.5893491273600497,1.5566230273962358,0.020590881764394227,1.071054568726852,2.0664978068674813,-0.3470795572714489
23,exact,93,0.30370136222706046,0.30861849958350046,0.016190699048507187,0.0,0.0,0.19847476186526114
23,pure_geometry,92,0.35156953759532605,0.3534365960416674,0.005310637716543025,0.0478681753682656,0.15761593895149284,0.15060658649699554
23,adequacy_only,17,0.470101602144325,0.4727632375863742,0.005661830187151813,0.16640023991726455,0.5479074532199708,0.03207452194799659
24,exact,95,0.382696256290692,0.38347433445596674,0.0020331480971784942,0.0,0.0,0.2238342120518329
24,pure_geometry,104,0.5354679175368139,0.5343694223807083,0.002051467735282353,0.1527716612461219,0.3991982119889832,0.071062550805711
24,adequacy_only,94,0.4652552524395243,0.4603059558404255,0.010637809187854674,0.08255899614883233,0.21572982434957866,0.14127521590300057
25,exact,83,0.22884978104117118,0.22970088254261128,0.003719040051373208,0.0,0.0,0.028211707550244408
25,pure_geometry,59,0.24696942191519722,0.24861370149279455,0.006657826563492268,0.01811964087402604,0.079177007692947,0.01009206667621837
25,adequacy_only,84,0.25590269814306144,0.258645765214325,0.010719179950693748,0.027052917101890256,0.11821255401167852,0.0011587904483541522
26,exact,33,0.3940028674936094,0.3957019041019711,0.004312244271646676,0.0,0.0,0.18024481865717862
26,pure_geometry,112,0.5154972127646676,0.5105542636815215,0.00958870186055248,0.12149434527105824,0.3083590382068193,0.05875047338612038
26,adequacy_only,37,0.5357364114116843,0.5325783156156875,0.005894868686776585,0.14173354391807486,0.35972718883923793,0.03851127473910376
27,exact,116,0.351054399029779,0.34961570426709365,0.004098210324842793,0.0,0.0,0.2332763202961171
27,pure_geometry,117,0.41526662317506235,0.41807557836771864,0.0067642209508181955,0.06421222414528338,0.1829124612104247,0.16906409615083373
27,adequacy_only,59,0.5148679001036719,0.521538691410887,0.01295631618493199,0.16381350107389292,0.4666328111159692,0.06946281922222419
28,exact,43,0.19596095604098515,0.19467881899272646,0.006542818907203805,0.0,0.0,0.05285682268731287
28,pure_geometry,87,0.24481881196075797,0.24723989925773784,0.009889302531898365,0.04885785591977282,0.24932444149514255,0.003998966767540052
28,adequacy_only,15,0.23240784378590518,0.2339167814254821,0.006492627851953968,0.036446887744920026,0.18599055894224747,0.016409934942392845
29,exact,26,0.23786674937661617,0.2373142377169474,0.0023227780306274495,0.0,0.0,0.12251441863885343
29,pure_geometry,36,0.267052862091146,0.26737525459495753,0.0012072235485029894,0.02918611271452981,0.12269942222281438,0.09332830592432362
29,adequacy_only,19,0.35331551868401867,0.3546447522531048,0.003762171483542811,0.1154487693074025,0.4853505990642333,0.0070656493314509294
