seed,subset_id,selected_local,exact,pure_geometry,adequacy_only
0,35,0;8;9,0.27430136199788435,0.047745098039215686,0.13407338613552447
0,36,1;2;3,0.26201033793626227,0.07619047619047621,0.11561432848838296
0,37,1;2;4,0.312694866023524,0.07025,0.13821579631500705
0,38,1;2;5,0.3289232029874497,0.08171428571428574,0.14468712453008498
0,39,1;2;6,0.3307839536512447,0.07757142857142858,0.14606342797792482
0,40,1;2;7,0.26759728995277865,0.07500000000000001,0.11381005389173195
0,41,1;2;8,0.30574923316429337,0.06013793103448277,0.12955464007110654
0,42,1;2;9,0.3219063157901148,0.07200000000000002,0.14686451094863168
0,43,1;3;4,0.35571809788711284,0.06425,0.179979901346218
0,44,1;3;5,0.3689884556270183,0.07523809523809526,0.18484093292695944
0,45,1;3;6,0.36633870658817236,0.07157142857142859,0.1887128989043107
0,46,1;3;7,0.355745025812096,0.07200000000000001,0.17336164855565156
0,47,1;3;8,0.3228211613478672,0.05475000000000001,0.17519977351905514
0,48,1;3;9,0.3755824388702591,0.06833333333333334,0.1893806050836319
0,49,1;4;5,0.4934693897233464,0.07314285714285715,0.21881255758517476
0,50,1;4;6,0.5010697602773164,0.0745714285714286,0.22162523583699215
0,51,1;4;7,0.39836581094520007,0.06727272727272728,0.1879618975417392
0,52,1;4;8,0.38214594887227404,0.05294117647058824,0.1872217952771081
0,53,1;4;9,0.5151704442131371,0.0702857142857143,0.22267648708975565
0,54,1;5;6,0.5379572924010757,0.08000000000000002,0.2268222097897395
0,55,1;5;7,0.3936551527017367,0.07500000000000001,0.19362703993618874
0,56,1;5;8,0.3716127774261594,0.059310344827586216,0.19221219018555147
0,57,1;5;9,0.5215881853785831,0.07485714285714287,0.22784782334814258
0,58,1;6;7,0.3952512379710354,0.07102564102564103,0.19698964932052704
0,59,1;6;8,0.38391391180127643,0.05728260869565219,0.1948678884160322
0,60,1;6;9,0.5119673280857919,0.07157142857142859,0.2307562868232862
0,61,1;7;8,0.35168407969395715,0.057692307692307696,0.16875689732308746
0,62,1;7;9,0.41128108531351437,0.07200000000000001,0.19822991829117667
0,63,1;8;9,0.38578830777901385,0.05475000000000001,0.1961011052779823
0,64,2;3;4,0.23808409192252317,0.06827586206896553,0.1061463409030841
0,65,2;3;5,0.25332429174092674,0.08375000000000002,0.11337978865661172
0,66,2;3;6,0.25267943238696466,0.07442857142857144,0.11536802227680532
0,67,2;3;7,0.24079271547313652,0.07523809523809526,0.10126787810072349
0,68,2;3;8,0.23606500453360904,0.06062500000000001,0.10592711751710583
0,69,2;3;9,0.2602586287978476,0.06983333333333334,0.11526290064494887
0,70,2;4;5,0.35292507156539243,0.08600000000000002,0.1349829210735999
0,71,2;4;6,0.35128643144529814,0.08400000000000002,0.13630184912809684
0,72,2;4;7,0.2774843999815407,0.07314285714285715,0.10410129132895998
0,73,2;4;8,0.340456084437465,0.06814285714285716,0.11982120977615625
0,74,2;4;9,0.339776074510542,0.0732857142857143,0.13744060441851713
0,75,2;5;6,0.38179756658519415,0.09085714285714287,0.14332962007138353
0,76,2;5;7,0.28175649125187285,0.08171428571428574,0.11105622040648339
0,77,2;5;8,0.34442474860032646,0.07714285714285715,0.12668027742741286
0,78,2;5;9,0.3315098266141543,0.07700000000000003,0.1435039400461553
0,79,2;6;7,0.2755976555587852,0.07282758620689656,0.11255786848270286
0,80,2;6;8,0.33540343279038926,0.068,0.1274073851535501
0,81,2;6;9,0.3199970443883051,0.07025,0.14476111698443603
0,82,2;7;8,0.2902269972443076,0.06758620689655173,0.104352243899171
0,83,2;7;9,0.2741941608997637,0.07485714285714287,0.11373800505343665
0,84,2;8;9,0.3239497713539795,0.06128571428571429,0.12913363132143738
0,85,3;4;5,0.34398335225833804,0.06827586206896552,0.17509806692215357
0,86,3;4;6,0.34548258031048334,0.06725,0.17878647610957846
0,87,3;4;7,0.33717819745778105,0.06425,0.16338960944818964
0,88,3;4;8,0.3072525513250436,0.05088235294117648,0.16577876806966482
0,89,3;4;9,0.34619765283890386,0.0626923076923077,0.17967621739482775
0,90,3;5;6,0.3606000393116914,0.07312500000000001,0.1842970746194316
0,91,3;5;7,0.3455161783346892,0.07619047619047621,0.16848998082929667
0,92,3;5;8,0.3088365138369734,0.061571428571428576,0.1707932299897663
0,93,3;5;9,0.36729961647311654,0.06983333333333334,0.18424993438628295
0,94,3;6;7,0.34257720685069676,0.06725,0.17207127198064587
0,95,3;6;8,0.31481437275513985,0.05421568627450982,0.17446251953861364
0,96,3;6;9,0.3588489624307786,0.06318181818181819,0.18803437829923936
0,97,3;7;8,0.3136626212151676,0.05871428571428573,0.15777924394090936
0,98,3;7;9,0.34628464870720005,0.06833333333333334,0.17331468344686493
0,99,3;8;9,0.3141865258147529,0.05136363636363636,0.17463006038414897
0,100,4;5;6,0.556963766462406,0.0864761904761905,0.2166632905348685
0,101,4;5;7,0.39033216837643053,0.07025,0.18341235930474456
0,102,4;5;8,0.39325282112589366,0.06462500000000002,0.18257143737800835
0,103,4;5;9,0.5135965987057777,0.0732857142857143,0.21781074640017722
0,104,4;6;7,0.39444795784664777,0.07025,0.18655724570595522
0,105,4;6;8,0.403756590630477,0.06462500000000002,0.18516323572192844
