seed,strategy,length_factor,rho,noise_ratio,inner_weighted_mse
101,estimated_witness,1.0,1.0,0.03,0.2659866349165953
101,estimated_witness,2.0,0.1,0.1,0.26695103854237984
101,estimated_witness,0.5,0.5,3.0,0.26753756010166835
101,estimated_witness,0.25,0.5,3.0,0.26925459622550063
101,estimated_witness,4.0,0.25,0.03,0.27025886361459156
101,estimated_witness,0.5,0.1,0.03,0.27178127269122127
101,estimated_witness,4.0,1.0,1.0,0.2719199251506639
101,estimated_witness,0.25,0.1,0.03,0.27256079217028384
101,estimated_witness,2.0,1.0,1.0,0.27308366553608227
101,estimated_witness,4.0,0.1,0.1,0.2735766347434578
101,estimated_witness,0.5,0.9,1.0,0.27437230287080483
101,estimated_witness,4.0,0.75,3.0,0.2750784994065189
101,estimated_witness,2.0,0.75,3.0,0.2767263923592716
101,estimated_witness,1.0,0.1,0.03,0.27739299126197764
101,estimated_witness,0.5,1.0,0.1,0.27921464446423844
101,estimated_witness,1.0,0.75,3.0,0.2803455621291097
101,estimated_witness,0.5,1.0,0.03,0.2808529897918603
101,estimated_witness,1.0,1.0,1.0,0.2823911124361863
101,estimated_witness,0.5,1.0,0.3,0.28256655314799944
101,estimated_witness,0.25,0.9,1.0,0.2828520407617348
101,estimated_witness,0.5,0.75,3.0,0.2844068073364099
101,estimated_witness,4.0,0.9,3.0,0.28716583239329757
101,estimated_witness,4.0,0.1,10.0,0.2876124651714648
101,estimated_witness,0.25,0.0,10.0,0.2877434591050514
101,estimated_witness,2.0,0.1,0.03,0.28792133910765405
101,estimated_witness,0.25,0.75,3.0,0.28795734713074267
101,estimated_witness,2.0,0.9,3.0,0.28840950007082267
101,estimated_witness,2.0,0.1,10.0,0.2888754140508839
101,estimated_witness,1.0,0.1,10.0,0.2897148438656745
101,estimated_witness,4.0,0.25,10.0,0.28997576714293566
101,estimated_witness,0.5,0.1,10.0,0.2901403165550904
101,estimated_witness,0.25,0.1,10.0,0.29034032828907286
101,estimated_witness,2.0,0.25,10.0,0.2919459346820834
101,estimated_witness,1.0,0.9,3.0,0.29280113962589466
101,estimated_witness,1.0,0.25,10.0,0.29342571640553194
101,estimated_witness,0.25,0.0,0.1,0.2940230563929844
101,estimated_witness,0.5,0.25,10.0,0.2942834164249783
101,estimated_witness,0.5,1.0,1.0,0.29435528363787244
101,estimated_witness,0.25,1.0,0.03,0.2943577901383228
101,estimated_witness,0.25,1.0,0.1,0.29447970135053353
101,estimated_witness,0.25,0.25,10.0,0.29473474722393295
101,estimated_witness,4.0,0.5,10.0,0.2961892899479163
101,estimated_witness,0.25,1.0,0.3,0.29742565245299085
101,estimated_witness,4.0,1.0,3.0,0.2977066327676388
101,estimated_witness,2.0,1.0,3.0,0.29828905793070126
101,estimated_witness,0.5,0.9,3.0,0.2983530567302914
101,estimated_witness,2.0,0.5,10.0,0.2985976198356497
101,estimated_witness,4.0,0.1,0.03,0.29992163742329975
101,estimated_witness,1.0,0.5,10.0,0.30078363058661883
101,estimated_witness,0.5,0.5,10.0,0.30233918836855317
101,estimated_witness,1.0,1.0,3.0,0.30306119018476774
101,estimated_witness,0.25,0.5,10.0,0.3033115301720754
101,estimated_witness,0.25,0.9,3.0,0.30351880844822327
101,estimated_witness,4.0,0.75,10.0,0.30417319918497976
101,estimated_witness,0.25,1.0,1.0,0.3056197398587204
101,estimated_witness,2.0,0.75,10.0,0.30669216581059267
101,estimated_witness,1.0,0.75,10.0,0.30946539822507835
101,estimated_witness,0.5,1.0,3.0,0.3097452692759818
101,estimated_witness,4.0,0.9,10.0,0.30980403981999605
101,estimated_witness,0.5,0.75,10.0,0.3118287137673979
101,estimated_witness,2.0,0.9,10.0,0.3122777493690582
101,estimated_witness,0.25,0.75,10.0,0.31353306673481224
101,estimated_witness,4.0,1.0,10.0,0.31394651862329975
101,estimated_witness,1.0,0.9,10.0,0.31537186156825386
101,estimated_witness,0.25,1.0,3.0,0.31631555751582147
101,estimated_witness,2.0,1.0,10.0,0.3163403542357529
101,estimated_witness,0.5,0.9,10.0,0.31828731437531704
101,estimated_witness,1.0,1.0,10.0,0.3196337799426563
101,estimated_witness,0.25,0.9,10.0,0.3205509126683312
101,estimated_witness,0.5,1.0,10.0,0.32294809728666585
101,estimated_witness,0.25,1.0,10.0,0.32564200307507496
101,estimated_witness,0.25,0.0,0.03,0.33152819792425076
101,geometry_only,0.25,0.0,1.0,0.23616514939986877
101,geometry_only,0.25,0.0,3.0,0.2502079304099038
101,geometry_only,0.25,0.0,0.3,0.25762846011725965
101,geometry_only,0.25,0.0,10.0,0.2877434591050514
101,geometry_only,0.25,0.0,0.1,0.2940230563929844
101,geometry_only,0.25,0.0,0.03,0.33152819792425076
102,estimated_witness,4.0,0.9,0.03,0.1637804094231655
102,estimated_witness,2.0,0.9,0.03,0.16519975672501255
102,estimated_witness,4.0,0.9,0.1,0.1663928011933997
102,estimated_witness,2.0,0.9,0.1,0.16836254440131662
102,estimated_witness,2.0,0.75,0.1,0.17094330683439055
102,estimated_witness,2.0,0.75,0.03,0.1717098030762418
102,estimated_witness,1.0,0.9,0.03,0.17228109631232394
102,estimated_witness,1.0,0.75,0.03,0.17357472018991568
102,estimated_witness,4.0,0.75,0.1,0.1748753546184404
102,estimated_witness,1.0,0.75,0.1,0.17601696206149686
102,estimated_witness,1.0,0.9,0.1,0.17804407807987108
102,estimated_witness,4.0,0.75,0.03,0.1794062534136627
102,estimated_witness,2.0,0.75,0.3,0.1852186010820767
102,estimated_witness,4.0,1.0,0.1,0.18638295756036913
102,estimated_witness,2.0,1.0,0.1,0.18661594300532816
102,estimated_witness,2.0,0.9,0.3,0.18740327063590767
102,estimated_witness,1.0,1.0,0.03,0.1880708803611871
102,estimated_witness,4.0,0.9,0.3,0.1889436939229162
102,estimated_witness,4.0,0.75,0.3,0.18921692933340303
102,estimated_witness,1.0,0.5,0.1,0.18925703791778273
102,estimated_witness,2.0,1.0,0.03,0.1898715533609745
102,estimated_witness,0.5,0.75,0.03,0.18992016328098008
102,estimated_witness,1.0,0.75,0.3,0.1900464504267285
102,estimated_witness,2.0,0.5,0.1,0.1912346157551449
102,estimated_witness,1.0,0.5,0.03,0.191422866022413
102,estimated_witness,0.5,0.75,0.1,0.1928801680536116
102,estimated_witness,1.0,1.0,0.1,0.19290304043246462
102,estimated_witness,4.0,1.0,0.03,0.1940349762686774
102,estimated_witness,0.5,0.9,0.03,0.19491257882991767
102,estimated_witness,1.0,0.9,0.3,0.195524460346543
102,estimated_witness,1.0,0.5,0.3,0.19667892878247314
102,estimated_witness,2.0,0.5,0.3,0.1972135374990107
102,estimated_witness,2.0,0.5,0.03,0.1983113456725445
102,estimated_witness,0.5,0.5,0.1,0.19899972154786896
102,estimated_witness,0.5,0.5,0.03,0.1999285588896201
102,estimated_witness,2.0,1.0,0.3,0.2002059641002291
102,estimated_witness,0.5,0.9,0.1,0.20055754220338037
102,estimated_witness,4.0,0.5,0.1,0.20156720189632837
102,estimated_witness,4.0,1.0,0.3,0.20293782999477228
102,estimated_witness,4.0,0.5,0.3,0.20492876323776454
102,estimated_witness,0.5,0.75,0.3,0.20501962542440388
102,estimated_witness,0.5,0.5,0.3,0.20527795124876239
102,estimated_witness,1.0,1.0,0.3,0.20806398878305576
102,estimated_witness,0.5,1.0,0.03,0.2108044933868091
102,estimated_witness,0.25,0.75,0.03,0.21263073388341644
102,estimated_witness,4.0,0.5,0.03,0.21381819201272134
102,estimated_witness,0.25,0.5,0.1,0.21432104275229014
102,estimated_witness,0.25,0.75,0.1,0.21472585755389914
102,estimated_witness,0.5,0.9,0.3,0.21541303583818214
102,estimated_witness,0.25,0.5,0.03,0.2156242300240224
102,estimated_witness,0.5,1.0,0.1,0.21675310880165646
102,estimated_witness,0.25,0.5,0.3,0.21784115518943203
102,estimated_witness,1.0,0.25,0.3,0.21796108329700667
102,estimated_witness,1.0,0.25,0.1,0.21826049910815618
102,estimated_witness,0.5,0.25,0.3,0.22147875072417675
102,estimated_witness,2.0,0.25,0.3,0.22180494832012387
102,estimated_witness,1.0,0.5,1.0,0.2221921427048957
