seed,strategy,residual_mse,residual_nmse,residual_cosine,full_effect_mse,full_effect_nmse,full_effect_cosine,selected_length_factor,selected_rho,selected_noise_ratio,covariance_scale,estimated_K_diagonal,estimated_noise_variance
108,empirical_oracle,0.04060987065538741,0.19038576069119736,0.8334329508206451,0.040609870655970846,0.052480526166205035,0.9599939114697377,,,,1.0,,2.204197579032467e-11
109,estimated_witness,0.15095771514935588,0.46346207808516243,0.6685914589865204,0.15095771514929618,0.13908494059324492,0.9232863475179992,4.0,0.75,0.1,0.37945424801274275,0.28459068600955706,0.037945424801274275
109,geometry_only,0.21988122498322718,0.6750672488770272,0.5633844185160005,0.2198812249787531,0.2025876390848539,0.9148543167718483,0.25,0.0,1.0,0.0904309714023129,0.0,0.0904309714023129
109,empirical_oracle,0.04692194899899863,0.14405718826206482,0.8641463995150567,0.046921948997204095,0.04323155316931694,0.9591440430785605,,,,1.0,,1.9969394316104217e-11
110,estimated_witness,0.14355835118564825,0.5079380462689691,0.5502788975685459,0.14355835119449564,0.16169625004051902,0.9093967204577182,2.0,0.75,0.1,0.32679337422045246,0.24509503066533933,0.03267933742204525
110,geometry_only,0.16595826735193636,0.5871934121889876,0.5192177451202296,0.16595826734683639,0.18692628655820245,0.8966799197559432,0.25,0.0,1.0,0.09627576224858639,0.0,0.09627576224858639
110,empirical_oracle,0.05195360611407946,0.18382220865776605,0.8194549289063557,0.051953606147647664,0.05851769137955093,0.9543750265327374,,,,1.0,,2.0808793632647615e-11
111,estimated_witness,0.18095212005158365,1.018547708503011,0.41779618770590443,0.18095212005067093,0.176140210979193,0.8807484700817423,4.0,0.75,0.1,0.3817356726460771,0.28630175448455786,0.038173567264607716
111,geometry_only,0.26284471559747435,1.479506748457077,0.2998977903882937,0.2628447155961124,0.25585510491339253,0.8576951671935161,0.25,0.0,0.3,0.1965252119611654,0.0,0.05895756358834962
111,empirical_oracle,0.052882606503629984,0.29766690580129157,0.7974924286995383,0.05288260649237498,0.05147634336689847,0.9313095968943005,,,,1.0,,2.2622728419510764e-11
112,estimated_witness,0.13908851216992618,0.8622227390932238,0.4419027285489852,0.1390885121678098,0.19040281687615299,0.9012102492606653,2.0,0.9,0.03,0.6107502994061805,0.5496752694655624,0.018322508982185414
112,geometry_only,0.16182346756011554,1.0031588610192572,0.4152956090806689,0.16182346755535412,0.2215254414543743,0.8961250153134257,0.25,0.0,1.0,0.09719490281545844,0.0,0.09719490281545844
112,empirical_oracle,0.03857895493142353,0.23915456189284276,0.8272729758447631,0.038578954927520025,0.052811994145681745,0.9484545093317504,,,,1.0,,2.293308089069883e-11
113,estimated_witness,0.1439427282473536,0.5672036488566776,0.6393932524685347,0.14394272825993554,0.20452857577802983,0.9194634061282375,1.0,0.75,0.1,0.2755506538019005,0.20666299035142538,0.027555065380190053
113,geometry_only,0.1404023037275232,0.5532526717520987,0.6163249909644235,0.14040230373848323,0.1994979778883287,0.9127790714950687,0.25,0.0,1.0,0.10010397704688317,0.0,0.10010397704688317
113,empirical_oracle,0.04561620111711959,0.1797497937940187,0.8292454576404203,0.04561620113673426,0.0648161721240435,0.9466075018699186,,,,1.0,,2.181310108288188e-11
114,estimated_witness,0.1343407824384561,0.43286102453393943,0.6463879252857891,0.13434078239786973,0.15804127685463304,0.9083933777395196,2.0,0.75,0.1,0.3293151360264188,0.24698635201981411,0.03293151360264188
114,geometry_only,0.18923642462860774,0.609740922726906,0.5605812110032948,0.18923642456362477,0.2226216464696944,0.8648682369641592,0.25,0.0,1.0,0.09529281672721304,0.0,0.09529281672721304
114,empirical_oracle,0.04149851662607846,0.13371286140626917,0.8705185611037468,0.041498516611370655,0.04881971383351283,0.9510624508422746,,,,1.0,,2.1356626937683908e-11
115,estimated_witness,0.1277500293904059,0.4877565986400139,0.6409105586043541,0.12775002941443356,0.22789689567266916,0.8826282043922716,1.0,0.75,0.1,0.2704834832237408,0.20286261241780557,0.02704834832237408
115,geometry_only,0.15072259495005486,0.5754671102765038,0.6022974217114287,0.15072259495175577,0.26887830597519524,0.8725198561477994,0.25,0.0,1.0,0.09613045165519878,0.0,0.09613045165519878
115,empirical_oracle,0.04296710738092695,0.16405076577692815,0.8479337369498002,0.04296710738591387,0.07665023980164852,0.9326655429909098,,,,1.0,,2.0943079846183754e-11
116,estimated_witness,0.1285135624839814,0.5901917152159204,0.5469718137526236,0.12851356251152943,0.1768978907172772,0.9140017783512188,4.0,0.75,0.1,0.395061119082393,0.29629583931179476,0.0395061119082393
116,geometry_only,0.1496413910555639,0.6872201466315109,0.5342149375067337,0.1496413910792893,0.2059801777228814,0.9208727353262,0.25,0.0,1.0,0.0975745373008781,0.0,0.0975745373008781
116,empirical_oracle,0.046605040015977886,0.21403117284345044,0.8272909572365217,0.046605040032969114,0.06415146477545411,0.9509997520374106,,,,1.0,,2.1557697271408075e-11
117,estimated_witness,0.2162081301164823,0.6464782060499789,0.5801071323493191,0.21620813011424486,0.20108739387557895,0.9101980468651174,4.0,0.75,0.1,0.34646572105570567,0.25984929079177926,0.03464657210557057
117,geometry_only,0.2486538714052297,0.7434933581213214,0.46224831406213623,0.24865387139089767,0.23126400912235942,0.8870488877084406,0.25,0.0,1.0,0.0867911413593711,0.0,0.0867911413593711
117,empirical_oracle,0.0543791184760658,0.1625975625433074,0.8680709898449004,0.054379118474653314,0.05057605932552734,0.9664670126980575,,,,1.0,,1.9737201871485325e-11
118,estimated_witness,0.1590038175315794,0.8290402770767719,0.4879470374269665,0.15900381754493106,0.18096850749301327,0.8946758209605454,4.0,0.9,0.03,0.7996689015528419,0.7197020113975577,0.023990067046585257
